timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743687085091,120,Requête HTTP,200,OK,Groupe d'unités Dep_Api 1-1,text,true,,2085,119,1,2,http://192.168.1.95:3000/,113,0,87
1743687084863,4548,getAll,200,OK,Groupe d'unités Dep_BDD 2-1,text,true,,13822049,0,1,1,null,3717,0,1099
